asset_name,category,collection,scale_meters,poly_count,vertex_count,material_count,texture_status,export_fbx_path,export_glb_path,quality_status,notes
CR_Pedestrian_00,CR_Crowd,MAP_SHIBUYA_CROWD,0.46 x 0.42 x 1.70,596,596,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_00.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_00.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_01,CR_Crowd,MAP_SHIBUYA_CROWD,0.46 x 0.35 x 1.70,594,657,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_01.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_01.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_02,CR_Crowd,MAP_SHIBUYA_CROWD,0.45 x 0.37 x 1.70,606,681,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_02.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_02.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_03,CR_Crowd,MAP_SHIBUYA_CROWD,0.47 x 0.34 x 1.70,528,584,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_03.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_03.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_04,CR_Crowd,MAP_SHIBUYA_CROWD,0.47 x 0.41 x 1.70,618,670,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_04.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_04.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_05,CR_Crowd,MAP_SHIBUYA_CROWD,0.48 x 0.39 x 1.70,559,592,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_05.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_05.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_06,CR_Crowd,MAP_SHIBUYA_CROWD,0.46 x 0.39 x 1.70,540,582,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_06.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_06.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_07,CR_Crowd,MAP_SHIBUYA_CROWD,0.48 x 0.38 x 1.70,524,571,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_07.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_07.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_08,CR_Crowd,MAP_SHIBUYA_CROWD,0.45 x 0.39 x 1.70,539,576,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_08.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_08.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
CR_Pedestrian_09,CR_Crowd,MAP_SHIBUYA_CROWD,0.49 x 0.41 x 1.70,566,606,1,"1 image(s), max 512 px: combinedMat_baseColor.jpeg",01_Exports_FBX/CR_Crowd/CR_Pedestrian_09.fbx,02_Exports_GLB/CR_Crowd/CR_Pedestrian_09.glb,PENDING_USER_REVIEW,"Low-poly walking pedestrian, isolated from the 18-character pack ""Low Detail Animated Crowd"" (Sketchfab shahriyarshahrabi 4fe76fdec12d456f9b0db06b45cc53d6, CC-BY). Built from the EVALUATED mesh so the walk pose bakes in, normalised to 1.70 m, ground-centre pivot. Model faces local -Y, so placement uses rotation_z = yaw + pi/2. Instanced by 06_Placement/place_crowd_vehicles.py."
